122,Bruce R. Deaton Memorial Field,Chicago,IL,60022,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
123,Bryant Denny Stadium,Tuscaloosa,AL,35487,US,America/Chicago,NULL,NULL,70.05136108,101821,1929,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
124,B.T. Harvey Stadium,Atlanta,GA,30315,US,NULL,NULL,NULL,NULL,9000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
125,Buccaneer Field,North Charleston,SC,29406,US,America/New_York,NULL,NULL,12.6744318,4000,1970,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
126,Buffalo Stadium,Canyon,TX,79016,US,NULL,NULL,NULL,NULL,12000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
127,Bulldawg Stadium,Copperas Cove,TX,76522,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
128,Bulldogs Stadium,Bowie,MD,20720,US,NULL,NULL,NULL,NULL,2964,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
129,Bulldog Stadium,Fresno,CA,93740,US,America/Los_Angeles,NULL,NULL,102.564064,41031,1980,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
130,Bulldog Stadium,Smithfield,RI,93710,US,America/New_York,NULL,NULL,124.471344,4400,1999,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
131,Bulldog Stadium (NE),Seward,NE,NULL,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
132,Bulldog Stadium (TX),Seguin,TX,79765,US,NULL,NULL,NULL,NULL,1500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
133,Burke-Tarr Stadium,Jefferson City,TN,NULL,US,NULL,NULL,NULL,NULL,6500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
134,Butler Bowl,Indianapolis,IN,46721,US,America/Indiana/Indianapolis,NULL,NULL,221.1980591,5647,1928,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
135,Butterfield Stadium,Ithaca,NY,NULL,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
136,Cadet Memorial Field,New London,CT,6320,US,NULL,NULL,NULL,NULL,4500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
137,Cajun Field,Lafayette,LA,70506,US,America/Chicago,NULL,NULL,3.556508303,41426,1971,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
138,California Memorial Stadium,Berkeley,CA,94720,US,America/Los_Angeles,NULL,NULL,125.3108063,62467,1923,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
139,Callaghan Stadium,Princeton,WV,24740,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
140,Callaway Stadium,Lagrange,GA,NULL,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
141,Cameron Stadium,Washington,PA,15301,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
142,Camping World Stadium,Orlando,FL,32805,US,America/New_York,NULL,NULL,31.37226868,65000,1946,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
143,Camp Randall Stadium,Madison,WI,53711,US,America/Chicago,NULL,NULL,263.604126,80321,1917,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
