117,McNeese,Southland,fcs,#00529C,NULL,NULL,Cowboys,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2377.png,@McNeeseFootball
118,Memphis,American Athletic,fbs,#003087,#898d8d,NULL,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png,@MemphisFB
119,Mercer,Southern,fcs,#ff7f29,#080808,NULL,Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png,@MercerFootball
120,Merrimack,NEC,fcs,#000000,NULL,NULL,Warriors,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2771.png,@MerrimackFB
121,Miami,ACC,fbs,#004325,#f0f0f0,NULL,Hurricanes,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png,@CanesFootball
122,Miami (OH),Mid-American,fbs,#a4000c,#f0f0f0,NULL,RedHawks,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/193.png,@MiamiOHFootball
123,Michigan,Big Ten,fbs,#00274c,#FFCB05,NULL,Wolverines,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png,@UMichFootball
124,Michigan State,Big Ten,fbs,#18453B,#ffffff,NULL,Spartans,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/127.png,@MSU_Football
125,Middle Tennessee,Conference USA,fbs,#0079C2,#c3c5c8,NULL,Blue Raiders,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2393.png,@MT_FB
126,Minnesota,Big Ten,fbs,#7A0019,#FFCC33,NULL,Golden Gophers,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/135.png,@GopherFootball
